guarantee_id,guarantee_code,store_id,klass_id,guarantee_contract_type,guarantee_pay_type,guarantee_status,guarantee_memo,guarantee_currency,guarantee_total,remaining_guarantee,min_guarantee_per_month,fixed_guarantee_per_month,max_deduction,max_deduction_per_month,guarantee_start_date,guarantee_end_date,deduction_start_date,deduction_end_date,created_by,updated_by,created_at,updated_at
390,GUARANTEE_fzZIRB0qHDhuYOp,62b19902b80986b6ed124ccc,6209d7642a90c632dd7538d1,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",USD,3000.00,250.00,,3000.00,,,2022-11-30 15:00:00,2022-11-30 15:00:00,,,,,2023-03-16 06:32:30,2023-03-16 06:32:30
391,GUARANTEE_IoK8FGjEUzVuIij,630f315ba93e220015a87082,6169684008435722404803bb,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",USD,2500.00,800.00,,2500.00,,,2022-11-30 15:00:00,2022-11-30 15:00:00,,,,,2023-03-16 06:32:30,2023-03-16 06:32:30
392,GUARANTEE_hJTETpjf2ZN4jGy,6311a3ec4853c5000ed0fb90,60e28cdc7765a3001469c5fa,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",USD,1500.00,150.00,,1500.00,,,2022-11-30 15:00:00,2022-11-30 15:00:00,,,,,2023-03-16 06:32:30,2023-03-16 06:32:30
393,GUARANTEE_hEpOcmM1iNTd7Wv,62b198edb80986b6ed124661,60f9600fc715e1001460f83f,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",USD,2000.00,600.00,,2000.00,,,2022-11-30 15:00:00,2022-11-30 15:00:00,,,,,2023-03-16 06:32:31,2023-03-16 06:32:31
394,GUARANTEE_e9i5UaMFjhCwTfV,6311a39df203aa000f40c3bd,5f83f4a89f2c990014357d8d,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",USD,4000.00,3460.00,,4000.00,,,2022-11-30 15:00:00,2022-11-30 15:00:00,,,,,2023-03-16 06:32:31,2023-03-16 06:32:31
395,GUARANTEE_YnWlWbTSTAdJPeX,62b55bf7f3018000152d5a53,6209d8e52a90c632dd753b61,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",USD,2500.00,2500.00,,2500.00,,,2022-11-30 15:00:00,2022-11-30 15:00:00,,,,,2023-03-16 06:32:31,2023-03-16 06:32:31
